operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
GVT;PIRACICABA;SP;2015-06-22;1097;43;3,92
Embratel;VILA VELHA;ES;2015-06-22;1096;28;2,55
Telefônica;LORENA;SP;2015-06-22;1088;50;4,6
Embratel;PIRACICABA;SP;2015-06-22;1086;6;0,55
Embratel;JUNDIAI;SP;2015-06-22;1085;63;5,81
OI Fixa;MACEIO;AL;2015-06-22;1080;16;1,48
Telefônica;LEME;SP;2015-06-22;1074;39;3,63
Telefônica;ARUJA;SP;2015-06-22;1070;37;3,46
OI Fixa;SANTO ANTONIO DE JESUS;BA;2015-06-22;1068;15;1,4
Embratel;MANAUS;AM;2015-06-22;1064;26;2,44
OI Fixa;LAGOA SANTA;MG;2015-06-22;1059;23;2,17
OI Fixa;ITAUNA;MG;2015-06-22;1057;34;3,22
OI Fixa;NOVA LIMA;MG;2015-06-22;1050;27;2,57
Telefônica;SAO JOSE DO RIO PARDO;SP;2015-06-22;1047;44;4,2
BrT Fixa;RIO DO SUL;SC;2015-06-22;1043;38;3,64
GVT;SAO BERNARDO DO CAMPO;SP;2015-06-22;1042;171;16,41
Telefônica;PIRASSUNUNGA;SP;2015-06-22;1038;37;3,56
Telefônica;CAJAMAR;SP;2015-06-22;1028;15;1,46
Embratel;BELEM;PA;2015-06-22;1027;89;8,67
OI Fixa;NATAL;RN;2015-06-22;1025;10;0,98
OI Fixa;TEIXEIRA DE FREITAS;BA;2015-06-22;1016;37;3,64
Embratel;ITU;SP;2015-06-22;1006;50;4,97
BrT Fixa;GUARA;DF;2015-06-22;1005;36;3,58
Telefônica;SANTA FE DO SUL;SP;2015-06-22;1005;35;3,48
Telefônica;ANDRADINA;SP;2015-06-22;1004;28;2,79
Telefônica;MAIRINQUE;SP;2015-06-22;1002;9;0,9
BrT Fixa;PLANALTINA;DF;2015-06-22;996;51;5,12
OI Fixa;SAO JOAO DEL REI;MG;2015-06-22;995;38;3,82
OI Fixa;SAQUAREMA;RJ;2015-06-22;990;79;7,98
GVT;TOLEDO;PR;2015-06-22;987;6;0,61
GVT;JARAGUA DO SUL;SC;2015-06-22;982;27;2,75
BrT Fixa;ITAPEMA;SC;2015-06-22;982;14;1,43
GVT;SAO PAULO;SP;2015-06-22;980;64;6,53
GVT;ARAUCARIA;PR;2015-06-22;977;21;2,15
BrT Fixa;JI PARANA;RO;2015-06-22;975;26;2,67
OI Fixa;PETROLINA;PE;2015-06-22;968;11;1,14
GVT;CEILANDIA;DF;2015-06-22;964;48;4,98
GVT;SAO GONCALO;RJ;2015-06-22;959;5;0,52
Embratel;VITORIA;ES;2015-06-22;956;29;3,03
BrT Fixa;AGUAS LINDAS DE GOIAS;GO;2015-06-22;954;47;4,93
Embratel;SAO LUIS;MA;2015-06-22;954;10;1,05
BrT Fixa;PINHAIS;PR;2015-06-22;953;11;1,15
BrT Fixa;PIRAQUARA;PR;2015-06-22;950;10;1,05
BrT Fixa;CAMPO LARGO;PR;2015-06-22;946;7;0,74
OI Fixa;UNAI;MG;2015-06-22;943;50;5,3
Embratel;SERRA;ES;2015-06-22;942;26;2,76
OI Fixa;ITATIAIA;RJ;2015-06-22;940;7;0,74
BrT Fixa;MATINHOS;PR;2015-06-22;935;20;2,14
OI Fixa;SENHOR DO BONFIM;BA;2015-06-22;935;22;2,35
BrT Fixa;PONTES E LACERDA;MT;2015-06-22;926;102;11,02
OI Fixa;BRUMADO;BA;2015-06-22;920;32;3,48
OI Fixa;LUIS EDUARDO MAGALHAES;BA;2015-06-22;916;42;4,59
OI Fixa;GUANAMBI;BA;2015-06-22;916;32;3,49
Telefônica;SAO MANUEL;SP;2015-06-22;915;27;2,95
Telefônica;SAO SEBASTIAO;SP;2015-06-22;911;68;7,46
Telefônica;APARECIDA;SP;2015-06-22;906;33;3,64
OI Fixa;CARUARU;PE;2015-06-22;898;4;0,45
BrT Fixa;LAPA;PR;2015-06-22;893;8;0,9
OI Fixa;CATAGUASES;MG;2015-06-22;893;6;0,67
OI Fixa;CRUZ DAS ALMAS;BA;2015-06-22;888;18;2,03
Sercomtel Fixa;LONDRINA;PR;2015-06-22;888;17;1,91
BrT Fixa;SAO FRANCISCO DO SUL;SC;2015-06-22;884;3;0,34
Telefônica;MOCOCA;SP;2015-06-22;883;83;9,4
