operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
OI Fixa;SAO JOAQUIM DE BICAS;MG;2015-06-22;218;10;4,59
BrT Fixa;ITAPUA DO OESTE;RO;2015-06-22;217;29;13,36
OI Fixa;BAIXO GUANDU;ES;2015-06-22;217;9;4,15
OI Fixa;ARACUAI;MG;2015-06-22;217;13;5,99
Embratel;CUBATAO;SP;2015-06-22;217;6;2,76
BrT Fixa;BRAZLANDIA;DF;2015-06-22;216;17;7,87
BrT Fixa;BOMBINHAS;SC;2015-06-22;216;11;5,09
BrT Fixa;ESTRELA;RS;2015-06-22;215;32;14,88
GVT;MARACANAU;CE;2015-06-22;215;1;0,47
OI Fixa;PARNAMIRIM;RN;2015-06-22;215;1;0,47
BrT Fixa;NOVA CANAA DO NORTE;MT;2015-06-22;215;20;9,3
Telefônica;SANTA CRUZ DAS PALMEIRAS;SP;2015-06-22;215;31;14,42
BrT Fixa;MINEIROS;GO;2015-06-22;215;1;0,47
BrT Fixa;GOIANESIA;GO;2015-06-22;215;2;0,93
OI Fixa;ARCOVERDE;PE;2015-06-22;214;3;1,4
OI Fixa;BARROSO;MG;2015-06-22;213;1;0,47
Telefônica;JUQUIA;SP;2015-06-22;213;15;7,04
Algar Telecom;LUZ;MG;2015-06-22;213;7;3,29
OI Fixa;MARECHAL FLORIANO;ES;2015-06-22;213;0;0
Telefônica;ANGATUBA;SP;2015-06-22;212;22;10,38
Embratel;ARARAQUARA;SP;2015-06-22;212;2;0,94
GVT;RECANTO DAS EMAS;DF;2015-06-22;212;19;8,96
OI Fixa;IRAQUARA;BA;2015-06-22;211;23;10,9
OI Fixa;ITAMONTE;MG;2015-06-22;210;5;2,38
BrT Fixa;VENANCIO AIRES;RS;2015-06-22;210;25;11,9
Telefônica;PRADOPOLIS;SP;2015-06-22;210;16;7,62
Telefônica;GUAICARA;SP;2015-06-22;210;4;1,9
GVT;RIACHO FUNDO;DF;2015-06-22;210;14;6,67
OI Fixa;SANTA MARIA DE JETIBA;ES;2015-06-22;210;4;1,9
BrT Fixa;INHUMAS;GO;2015-06-22;209;5;2,39
OI Fixa;ARACATI;CE;2015-06-22;209;9;4,31
BrT Fixa;SAO JOSE;SC;2015-06-22;209;4;1,91
BrT Fixa;MINACU;GO;2015-06-22;209;1;0,48
OI Fixa;TAIOBEIRAS;MG;2015-06-22;208;7;3,37
OI Fixa;CABO DE SANTO AGOSTINHO;PE;2015-06-22;208;3;1,44
Telefônica;JUNQUEIROPOLIS;SP;2015-06-22;207;4;1,93
Telefônica;POTIRENDABA;SP;2015-06-22;207;13;6,28
OI Fixa;CAPIM GROSSO;BA;2015-06-22;207;26;12,56
GVT;NUCLEO BANDEIRANTE;DF;2015-06-22;207;10;4,83
BrT Fixa;CAMPINA GRANDE DO SUL;PR;2015-06-22;206;4;1,94
Telefônica;IPERO;SP;2015-06-22;206;9;4,37
Embratel;CANOAS;RS;2015-06-22;206;2;0,97
Sercomtel Fixa;CURITIBA;PR;2015-06-22;206;16;7,77
OI Fixa;SAO JOAO DA BARRA;RJ;2015-06-22;205;2;0,98
OI Fixa;BELA VISTA DE MINAS;MG;2015-06-22;205;4;1,95
BrT Fixa;CHUPINGUAIA;RO;2015-06-22;205;28;13,66
Tesa;RIO DE JANEIRO;RJ;2015-06-22;205;16;7,8
OI Fixa;MARANGUAPE;CE;2015-06-22;204;4;1,96
BrT Fixa;LAGO NORTE;DF;2015-06-22;204;12;5,88
OI Fixa;QUIXADA;CE;2015-06-22;204;5;2,45
BrT Fixa;SCHROEDER;SC;2015-06-22;204;6;2,94
BrT Fixa;PATO BRANCO;PR;2015-06-22;204;10;4,9
OI Fixa;PIUMHI;MG;2015-06-22;203;4;1,97
OI Fixa;MIRADOURO;MG;2015-06-22;203;10;4,93
BrT Fixa;CRUZ ALTA;RS;2015-06-22;203;5;2,46
Telefônica;ITIRAPINA;SP;2015-06-22;202;5;2,48
BrT Fixa;RIBEIRAO CASCALHEIRA;MT;2015-06-22;202;7;3,47
Telefônica;CAFELANDIA;SP;2015-06-22;202;6;2,97
OI Fixa;SERRO;MG;2015-06-22;202;4;1,98
OI Fixa;ITAOBIM;MG;2015-06-22;201;21;10,45
BrT Fixa;JACI PARANA;RO;2015-06-22;201;16;7,96
BrT Fixa;ALEXANIA;GO;2015-06-22;201;2;1
Telefônica;AURIFLAMA;SP;2015-06-22;201;9;4,48
OI Fixa;ITAMARANDIBA;MG;2015-06-22;201;40;19,9
OI Fixa;IPABA;MG;2015-06-22;201;2;1
BrT Fixa;RECANTO DAS EMAS;DF;2015-06-22;200;12;6
OI Fixa;IPIRA;BA;2015-06-22;200;7;3,5
OI Fixa;MARAGOGIPE;BA;2015-06-22;199;10;5,03
Algar Telecom;ARAGUARI;MG;2015-06-22;198;8;4,04
Telefônica;LUCELIA;SP;2015-06-22;198;9;4,55
OI Fixa;ITACARE;BA;2015-06-22;198;7;3,54
OI Fixa;BRAGANCA;PA;2015-06-22;198;3;1,52
BrT Fixa;MACHADINHO D'OESTE;RO;2015-06-22;197;9;4,57
Embratel;SAMAMBAIA;DF;2015-06-22;197;7;3,55
BrT Fixa;PANAMBI;RS;2015-06-22;196;19;9,69
OI Fixa;NEPOMUCENO;MG;2015-06-22;196;0;0
OI Fixa;TIBAU DO SUL;RN;2015-06-22;196;7;3,57
OI Fixa;PERDOES;MG;2015-06-22;196;3;1,53
OI Fixa;PALMARES;PE;2015-06-22;196;0;0
OI Fixa;CAETANOPOLIS;MG;2015-06-22;195;1;0,51
Embratel;SUMARE;SP;2015-06-22;195;8;4,1
GVT;ALVORADA;RS;2015-06-22;195;7;3,59
Telefônica;CONCHAS;SP;2015-06-22;195;5;2,56
OI Fixa;MIRACEMA;RJ;2015-06-22;195;3;1,54
BrT Fixa;BONITO;MS;2015-06-22;194;17;8,76
Embratel;MOGI GUACU;SP;2015-06-22;194;2;1,03
Algar Telecom;BRODOWSKI;SP;2015-06-22;194;0;0
BrT Fixa;CAPAO DA CANOA;RS;2015-06-22;194;3;1,55
BrT Fixa;NOVA PETROPOLIS;RS;2015-06-22;193;6;3,11
Telefônica;PINDORAMA;SP;2015-06-22;192;8;4,17
Telefônica;CORDEIROPOLIS;SP;2015-06-22;192;10;5,21
Telefônica;AVANHANDAVA;SP;2015-06-22;192;11;5,73
OI Fixa;ITAPIPOCA;CE;2015-06-22;191;6;3,14
Embratel;S PAULO;SP;2015-06-22;191;12;6,28
Telefônica;SAO LOURENCO DA SERRA;SP;2015-06-22;190;3;1,58
OI Fixa;MARACAS;BA;2015-06-22;190;3;1,58
BrT Fixa;IGREJINHA;RS;2015-06-22;190;29;15,26
OI Fixa;BARREIRINHAS;MA;2015-06-22;190;24;12,63
OI Fixa;PINHEIRO;MA;2015-06-22;189;16;8,47
OI Fixa;NOSSA SENHORA DO SOCORRO;SE;2015-06-22;189;3;1,59
BrT Fixa;TUBARAO;SC;2015-06-22;189;2;1,06
OI Fixa;IUNA;ES;2015-06-22;189;11;5,82
OI Fixa;FUNDAO;ES;2015-06-22;189;7;3,7
OI Fixa;RIO CLARO;RJ;2015-06-22;188;7;3,72
OI Fixa;GUARANESIA;MG;2015-06-22;188;9;4,79
OI Fixa;CANTAGALO;RJ;2015-06-22;188;20;10,64
BrT Fixa;SANTA ROSA;RS;2015-06-22;187;16;8,56
BrT Fixa;RIO NEGRINHO;SC;2015-06-22;187;11;5,88
BrT Fixa;XANXERE;SC;2015-06-22;187;39;20,86
Telefônica;SAO SIMAO;SP;2015-06-22;187;6;3,21
BrT Fixa;CASCAVEL;PR;2015-06-22;187;24;12,83
Embratel;SANTA MARIA;RS;2015-06-22;186;0;0
OI Fixa;FORMOSA DO RIO PRETO;BA;2015-06-22;186;14;7,53
Telefônica;TAMBAU;SP;2015-06-22;186;12;6,45
BrT Fixa;PALMEIRAS DE GOIAS;GO;2015-06-22;186;4;2,15
OI Fixa;OLIVEIRA DOS BREJINHOS;BA;2015-06-22;185;23;12,43
Algar Telecom;CAMPINA VERDE;MG;2015-06-22;185;8;4,32
Telefônica;MONTE AZUL PAULISTA;SP;2015-06-22;185;4;2,16
OI Fixa;SAO FRANCISCO DO CONDE;BA;2015-06-22;184;4;2,17
OI Fixa;MINAS NOVAS;MG;2015-06-22;183;7;3,83
BrT Fixa;FIGUEIROPOLIS;TO;2015-06-22;183;4;2,19
BrT Fixa;TRAMANDAI;RS;2015-06-22;183;7;3,83
OI Fixa;ALPINOPOLIS;MG;2015-06-22;182;6;3,3
GVT;CANDANGOLANDIA;DF;2015-06-22;182;10;5,49
Embratel;MOGI-GUACU;SP;2015-06-22;182;3;1,65
OI Fixa;PRESIDENTE TANCREDO NEVES;BA;2015-06-22;181;16;8,84
GVT;VARZEA PAULISTA;SP;2015-06-22;181;15;8,29
Algar Telecom;GUARA;SP;2015-06-22;181;5;2,76
OI Fixa;BONINAL;BA;2015-06-22;181;3;1,66
BrT Fixa;VISTA ALEGRE DO ABUNA;RO;2015-06-22;181;25;13,81
Embratel;ITAJAI;SC;2015-06-22;181;2;1,1
BrT Fixa;GOIANIRA;GO;2015-06-22;181;3;1,66
GVT;DOURADOS;MS;2015-06-22;181;1;0,55
Telefônica;MANDURI;SP;2015-06-22;181;1;0,55
Telefônica;CANANEIA;SP;2015-06-22;181;6;3,31
OI Fixa;CAMAMU;BA;2015-06-22;180;1;0,56
OI Fixa;MONTE ALEGRE DO PIAUI;PI;2015-06-22;180;21;11,67
Algar Telecom;ALTINOPOLIS;SP;2015-06-22;180;6;3,33
OI Fixa;SANTANA DO PARAISO;MG;2015-06-22;180;8;4,44
GVT;PALMAS;TO;2015-06-22;180;0;0
Telefônica;MINEIROS DO TIETE;SP;2015-06-22;179;11;6,15
Telefônica;URUPES;SP;2015-06-22;179;7;3,91
Telefônica;POMPEIA;SP;2015-06-22;179;2;1,12
OI Fixa;ESPINOSA;MG;2015-06-22;179;5;2,79
BrT Fixa;TAQUARALTO;TO;2015-06-22;178;3;1,69
Embratel;BLUMENAU;SC;2015-06-22;177;3;1,69
OI Fixa;CONCEICAO DA BARRA;ES;2015-06-22;177;2;1,13
BrT Fixa;CUJUBIM;RO;2015-06-22;177;18;10,17
Embratel;ANANINDEUA;PA;2015-06-22;177;0;0
OI Fixa;BAMBUI;MG;2015-06-22;177;3;1,69
Embratel;MACEIO;AL;2015-06-22;177;3;1,69
BrT Fixa;CHAPECO;SC;2015-06-22;177;4;2,26
OI Fixa;TANQUINHO;BA;2015-06-22;177;3;1,69
BrT Fixa;LAGOA DA CONFUSAO;TO;2015-06-22;176;14;7,95
OI Fixa;PORTO FRANCO;MA;2015-06-22;176;5;2,84
OI Fixa;ITAPEVA;MG;2015-06-22;176;2;1,14
BrT Fixa;JARAGUA;GO;2015-06-22;176;17;9,66
OI Fixa;MANHUMIRIM;MG;2015-06-22;175;1;0,57
Embratel;JUIZ DE FORA;MG;2015-06-22;175;64;36,57
OI Fixa;ELISIO MEDRADO;BA;2015-06-22;175;3;1,71
OI Fixa;PACAJA;PA;2015-06-22;175;26;14,86
BrT Fixa;CAMPO BOM;RS;2015-06-22;174;52;29,89
OI Fixa;CIPO;BA;2015-06-22;174;2;1,15
Telefônica;NHANDEARA;SP;2015-06-22;174;10;5,75
Embratel;JANDIRA;SP;2015-06-22;174;11;6,32
Telefônica;CAPELA DO ALTO;SP;2015-06-22;173;9;5,2
Telefônica;PONTAL;SP;2015-06-22;173;4;2,31
Embratel;SANTA BARBARA D OESTE;SP;2015-06-22;173;3;1,73
BrT Fixa;GARIBALDI;RS;2015-06-22;172;2;1,16
BrT Fixa;ANTONINA;PR;2015-06-22;172;3;1,74
GVT;LUZIANIA;GO;2015-06-22;172;25;14,53
OI Fixa;BARRA;BA;2015-06-22;172;3;1,74
OI Fixa;JAGUARE;ES;2015-06-22;172;12;6,98
BrT Fixa;GUABIRUBA;SC;2015-06-22;171;5;2,92
OI Fixa;BOM JESUS DAS SELVAS;MA;2015-06-22;171;0;0
BrT Fixa;SERAFINA CORREA;RS;2015-06-22;171;0;0
Telefônica;AGUAS DE SANTA BARBARA;SP;2015-06-22;170;2;1,18
BrT Fixa;DIANOPOLIS;TO;2015-06-22;170;14;8,24
Telefônica;ITAPORANGA;SP;2015-06-22;170;7;4,12
OI Fixa;ORIXIMINA;PA;2015-06-22;169;10;5,92
Telefônica;ITAJOBI;SP;2015-06-22;169;7;4,14
OI Fixa;BREJOES;BA;2015-06-22;169;5;2,96
OI Fixa;IBOTIRAMA;BA;2015-06-22;168;7;4,17
BrT Fixa;SAO BORJA;RS;2015-06-22;168;4;2,38
Algar Telecom;CONCEICAO DAS ALAGOAS;MG;2015-06-22;168;2;1,19
Algar Telecom;CARMO DO PARANAIBA;MG;2015-06-22;168;3;1,79
OI Fixa;SAO JOSE DO VALE DO RIO PRETO;RJ;2015-06-22;168;1;0,6
Embratel;BENTO GONCALVES;RS;2015-06-22;168;5;2,98
OI Fixa;CLAUDIO;MG;2015-06-22;168;4;2,38
Cabo Telecom;NATAL;RN;2015-06-22;168;5;2,98
OI Fixa;ITANHANDU;MG;2015-06-22;167;26;15,57
BrT Fixa;ALTO TAQUARI;MT;2015-06-22;167;10;5,99
BrT Fixa;GARUVA;SC;2015-06-22;167;1;0,6
Nao Encontrado;ITAGUARA;MG;2015-06-22;167;12;7,19
BrT Fixa;MEDIANEIRA;PR;2015-06-22;167;2;1,2
OI Fixa;TIMON;MA;2015-06-22;166;7;4,22
OI Fixa;SERRA TALHADA;PE;2015-06-22;166;3;1,81
Algar Telecom;SANTA VITORIA;MG;2015-06-22;166;4;2,41
OI Fixa;TERRA NOVA;BA;2015-06-22;166;5;3,01
OI Fixa;OIAPOQUE;AP;2015-06-22;166;18;10,84
Telefônica;SAO BENTO DO SAPUCAI;SP;2015-06-22;166;10;6,02
Telefônica;URANIA;SP;2015-06-22;165;8;4,85
GVT;MOGI DAS CRUZES;SP;2015-06-22;165;14;8,48
Algar Telecom;CAMPOS ALTOS;MG;2015-06-22;165;1;0,61
Embratel;COLOMBO;PR;2015-06-22;165;4;2,42
GVT;LINHARES;ES;2015-06-22;165;4;2,42
Telefônica;TUPI PAULISTA;SP;2015-06-22;165;10;6,06
OI Fixa;JEREMOABO;BA;2015-06-22;164;16;9,76
OI Fixa;FRONTEIRA;MG;2015-06-22;164;74;45,12
BrT Fixa;ITABERAI;GO;2015-06-22;164;0;0
OI Fixa;SANTANA;AP;2015-06-22;164;19;11,59
OI Fixa;CONCEICAO DO ALMEIDA;BA;2015-06-22;164;2;1,22
OI Fixa;SANTA CRUZ CABRALIA;BA;2015-06-22;164;3;1,83
BrT Fixa;ARAGUATINS;TO;2015-06-22;164;2;1,22
BrT Fixa;URUACU;GO;2015-06-22;163;3;1,84
OI Fixa;SAO JOSE DE RIBAMAR;MA;2015-06-22;163;4;2,45
BrT Fixa;CAMPO MAGRO;PR;2015-06-22;162;0;0
OI Fixa;IBICOARA;BA;2015-06-22;162;1;0,62
OI Fixa;CARDEAL DA SILVA;BA;2015-06-22;162;14;8,64
BrT Fixa;PEDRO AFONSO;TO;2015-06-22;162;6;3,7
OI Fixa;CRATEUS;CE;2015-06-22;162;7;4,32
OI Fixa;SAPEACU;BA;2015-06-22;162;2;1,23
OI Fixa;CAMACAN;BA;2015-06-22;161;9;5,59
Algar Telecom;PITANGUI;MG;2015-06-22;161;6;3,73
OI Fixa;CORINTO;MG;2015-06-22;161;1;0,62
Embratel;SOBRADINHO;DF;2015-06-22;160;9;5,63
BrT Fixa;CRISTALINA;GO;2015-06-22;160;13;8,13
OI Fixa;PORCIUNCULA;RJ;2015-06-22;160;4;2,5
Algar Telecom;BELO HORIZONTE;MG;2015-06-22;160;2;1,25
Telefônica;DUARTINA;SP;2015-06-22;160;7;4,38
OI Fixa;QUISSAMA;RJ;2015-06-22;160;1;0,63
OI Fixa;POCOES;BA;2015-06-22;160;2;1,25
OI Fixa;FLORESTA;PE;2015-06-22;159;7;4,4
OI Fixa;MARIO CAMPOS;MG;2015-06-22;159;2;1,26
Telefônica;IPAUSSU;SP;2015-06-22;159;5;3,14
GVT;SAPUCAIA DO SUL;RS;2015-06-22;159;8;5,03
Telefônica;GUAPIARA;SP;2015-06-22;159;11;6,92
GVT;TUBARAO;SC;2015-06-22;159;108;67,92
GVT;CAMPINA GRANDE DO SUL;PR;2015-06-22;158;2;1,27
OI Fixa;CACHOEIRA DO CAMPO;MG;2015-06-22;158;8;5,06
BrT Fixa;NOVA SANTA RITA;RS;2015-06-22;158;1;0,63
BrT Fixa;LAGOA VERMELHA;RS;2015-06-22;158;2;1,27
BrT Fixa;PARANAVAI;PR;2015-06-22;158;32;20,25
Telefônica;PORANGABA;SP;2015-06-22;157;5;3,18
OI Fixa;VITORIA DE SANTO ANTAO;PE;2015-06-22;157;0;0
OI Fixa;NOVA VICOSA;BA;2015-06-22;157;4;2,55
BrT Fixa;EDEIA;GO;2015-06-22;155;2;1,29
Telefônica;MARACAI;SP;2015-06-22;155;12;7,74
BrT Fixa;SANTANA DO LIVRAMENTO;RS;2015-06-22;155;1;0,65
OI Fixa;SARZEDO;MG;2015-06-22;154;5;3,25
BrT Fixa;POCONE;MT;2015-06-22;153;8;5,23
BrT Fixa;LAGUNA;SC;2015-06-22;153;15;9,8
BrT Fixa;COLNIZA;MT;2015-06-22;153;5;3,27
OI Fixa;TIANGUA;CE;2015-06-22;153;5;3,27
OI Fixa;UBAIRA;BA;2015-06-22;153;9;5,88
GVT;CAMPO BOM;RS;2015-06-22;153;0;0
Telefônica;BURI;SP;2015-06-22;153;42;27,45
Embratel;CRUZEIRO;SP;2015-06-22;153;3;1,96
OI Fixa;AIMORES;MG;2015-06-22;153;19;12,42
OI Fixa;VARZEA DA PALMA;MG;2015-06-22;152;28;18,42
OI Fixa;AMAPARI;AP;2015-06-22;152;7;4,61
Telefônica;GUAPIACU;SP;2015-06-22;152;1;0,66
BrT Fixa;FATIMA;TO;2015-06-22;151;2;1,32
OI Fixa;CARMO DO RIO CLARO;MG;2015-06-22;151;6;3,97
BrT Fixa;MASSARANDUBA;SC;2015-06-22;151;13;8,61
OI Fixa;ABREU E LIMA;PE;2015-06-22;151;0;0
OI Fixa;ESPERA FELIZ;MG;2015-06-22;151;1;0,66
OI Fixa;PEDRO CANARIO;ES;2015-06-22;151;5;3,31
BrT Fixa;SAO MARCOS;RS;2015-06-22;150;6;4
OI Fixa;GILBUES;PI;2015-06-22;150;15;10
OI Fixa;ENGENHEIRO PAULO DE FRONTIN;RJ;2015-06-22;150;1;0,67
OI Fixa;CASTELO DOS SONHOS;PA;2015-06-22;150;35;23,33
BrT Fixa;CEREJEIRAS;RO;2015-06-22;150;27;18
Telefônica;PARAIBUNA;SP;2015-06-22;150;16;10,67
OI Fixa;ARINOS;MG;2015-06-22;150;4;2,67
Telefônica;MACATUBA;SP;2015-06-22;150;7;4,67
BrT Fixa;NOVA PRATA;RS;2015-06-22;149;1;0,67
Algar Telecom;CAMPO FLORIDO;MG;2015-06-22;149;1;0,67
OI Fixa;PEDREIRAS;MA;2015-06-22;149;6;4,03
BrT Fixa;MACHADINHO D OESTE;RO;2015-06-22;149;14;9,4
OI Fixa;ACARAU;CE;2015-06-22;149;4;2,68
Engevox;TEIXEIRA DE FREITAS;BA;2015-06-22;148;5;3,38
America Net;SAO PAULO;SP;2015-06-22;148;0;0
Telefônica;NAZARE PAULISTA;SP;2015-06-22;148;8;5,41
OI Fixa;TANHACU;BA;2015-06-22;147;1;0,68
BrT Fixa;TELEMACO BORBA;PR;2015-06-22;147;21;14,29
OI Fixa;ARACAS;BA;2015-06-22;147;5;3,4
Algar Telecom;MONTE SANTO DE MINAS;MG;2015-06-22;147;3;2,04
Telefônica;POLVILHO;SP;2015-06-22;147;4;2,72
BrT Fixa;TORRES;RS;2015-06-22;147;5;3,4
OI Fixa;MUCURI;BA;2015-06-22;147;7;4,76
OI Fixa;CABACEIRAS DO PARAGUACU;BA;2015-06-22;146;2;1,37
BrT Fixa;PORECATU;PR;2015-06-22;146;2;1,37
Telefônica;ALVARES MACHADO;SP;2015-06-22;146;12;8,22
OI Fixa;LARANJAL DO JARI;AP;2015-06-22;146;12;8,22
BrT Fixa;PIRENOPOLIS;GO;2015-06-22;146;1;0,68
BrT Fixa;MIRACEMA DO TOCANTINS;TO;2015-06-22;146;10;6,85
OI Fixa;CAMPINA GRANDE;PB;2015-06-22;146;14;9,59
OI Fixa;IBICUI;BA;2015-06-22;145;5;3,45
Embratel;PINHAIS;PR;2015-06-22;145;4;2,76
Telefônica;MIRACATU;SP;2015-06-22;145;3;2,07
OI Fixa;RAPOSOS;MG;2015-06-22;145;2;1,38
BrT Fixa;MONTE CASTELO;SC;2015-06-22;145;3;2,07
Embratel;ITAPEVI;SP;2015-06-22;144;6;4,17
OI Fixa;BREJO SANTO;CE;2015-06-22;144;4;2,78
OI Fixa;CATAS ALTAS;MG;2015-06-22;144;4;2,78
OI Fixa;POSTO DA MATA;BA;2015-06-22;144;0;0
OI Fixa;REMANSO;BA;2015-06-22;144;4;2,78
BrT Fixa;ALTO PARAISO;RO;2015-06-22;144;6;4,17
Telefônica;BERNARDINO DE CAMPOS;SP;2015-06-22;144;4;2,78
BrT Fixa;RIO BRILHANTE;MS;2015-06-22;143;22;15,38
OI Fixa;CAPANEMA;PA;2015-06-22;143;2;1,4
Embratel;FARROUPILHA;RS;2015-06-22;143;7;4,9
OI Fixa;PEDRA AZUL;MG;2015-06-22;143;4;2,8
Embratel;CACHOEIRO DE ITAPEMIRIM;ES;2015-06-22;143;5;3,5
OI Fixa;CARINHANHA;BA;2015-06-22;143;1;0,7
Telefônica;RINOPOLIS;SP;2015-06-22;143;2;1,4
OI Fixa;IBATIBA;ES;2015-06-22;143;0;0
Telefônica;ELIAS FAUSTO;SP;2015-06-22;143;24;16,78
OI Fixa;ABRANTES;BA;2015-06-22;142;4;2,82
BrT Fixa;ALTO PARAISO DE GOIAS;GO;2015-06-22;142;3;2,11
BrT Fixa;SAO GABRIEL;RS;2015-06-22;142;0;0
OI Fixa;CARMOPOLIS DE MINAS;MG;2015-06-22;142;3;2,11
Telefônica;IACANGA;SP;2015-06-22;142;16;11,27
OI Fixa;BELO ORIENTE;MG;2015-06-22;141;2;1,42
Embratel;NILOPOLIS;RJ;2015-06-22;141;4;2,84
OI Fixa;HUMAITA;AM;2015-06-22;141;9;6,38
Telefônica;ITARIRI;SP;2015-06-22;141;8;5,67
OI Fixa;MACAUBAS;BA;2015-06-22;140;2;1,43
BrT Fixa;AGUDOS DO SUL;PR;2015-06-22;140;0;0
OI Fixa;LIVRAMENTO DE NOSSA SENHORA;BA;2015-06-22;140;3;2,14
OI Fixa;BELO CAMPO;BA;2015-06-22;139;14;10,07
BrT Fixa;TOCANTINOPOLIS;TO;2015-06-22;139;5;3,6
BrT Fixa;CERES;GO;2015-06-22;139;2;1,44
BrT Fixa;ALTO ARAGUAIA;MT;2015-06-22;139;12;8,63
BrT Fixa;ICARA;SC;2015-06-22;138;44;31,88
OI Fixa;JAGUARARI;BA;2015-06-22;138;2;1,45
OI Fixa;ECOPORANGA;ES;2015-06-22;138;4;2,9
OI Fixa;APUI;AM;2015-06-22;138;3;2,17
OI Fixa;UTINGA;BA;2015-06-22;138;2;1,45
OI Fixa;JATI;CE;2015-06-22;138;1;0,72
Algar Telecom;GUAIRA;SP;2015-06-22;137;9;6,57
Telefônica;CHAVANTES;SP;2015-06-22;137;3;2,19
GVT;BENTO GONCALVES;RS;2015-06-22;137;2;1,46
Telefônica;BOFETE;SP;2015-06-22;137;1;0,73
GVT;SANTA MARIA;DF;2015-06-22;137;15;10,95
OI Fixa;SAO JOSE DA LAPA;MG;2015-06-22;137;1;0,73
OI Fixa;CONCEICAO DA FEIRA;BA;2015-06-22;136;5;3,68
OI Fixa;PIRAPETINGA;MG;2015-06-22;136;4;2,94
Embratel;UBERLANDIA;MG;2015-06-22;136;9;6,62
Telefônica;SALESOPOLIS;SP;2015-06-22;136;3;2,21
Embratel;TABOAO DA SERRA;SP;2015-06-22;136;6;4,41
OI Fixa;RIO CASCA;MG;2015-06-22;136;2;1,47
OI Fixa;RIO DE CONTAS;BA;2015-06-22;136;5;3,68
Telefônica;PALESTINA;SP;2015-06-22;135;12;8,89
OI Fixa;BOM SUCESSO;MG;2015-06-22;135;4;2,96
OI Fixa;SIRINHAEM;PE;2015-06-22;135;0;0
OI Fixa;SANTA RITA DE CASSIA;BA;2015-06-22;135;0;0
OI Fixa;ESPLANADA;BA;2015-06-22;135;7;5,19
OI Fixa;BAEPENDI;MG;2015-06-22;135;12;8,89
OI Fixa;GOVERNADOR EDSON LOBAO;MA;2015-06-22;135;0;0
Telefônica;ITABERA;SP;2015-06-22;134;12;8,96
Algar Telecom;CAPINOPOLIS;MG;2015-06-22;134;1;0,75
OI Fixa;CACULE;BA;2015-06-22;134;5;3,73
OI Fixa;ICO;CE;2015-06-22;134;3;2,24
OI Fixa;UAUA;BA;2015-06-22;134;1;0,75
OI Fixa;MACUCO;RJ;2015-06-22;134;2;1,49
OI Fixa;LAMBARI;MG;2015-06-22;134;1;0,75
BrT Fixa;AQUIDAUANA;MS;2015-06-22;134;8;5,97
BrT Fixa;SAO FRANCISCO DO GUAPORE;RO;2015-06-22;133;14;10,53
OI Fixa;ELOI MENDES;MG;2015-06-22;133;4;3,01
OI Fixa;JAGUARIBE;CE;2015-06-22;133;2;1,5
OI Fixa;SAO GERALDO;MG;2015-06-22;133;0;0
Embratel;CONTAGEM;MG;2015-06-22;133;4;3,01
OI Fixa;UBATA;BA;2015-06-22;133;1;0,75
OI Fixa;PALMEIRA DOS INDIOS;AL;2015-06-22;133;13;9,77
Telefônica;PARAISO;SP;2015-06-22;132;0;0
OI Fixa;BORDA DA MATA;MG;2015-06-22;132;1;0,76
Algar Telecom;ARAPORA;MG;2015-06-22;132;4;3,03
Embratel;APARECIDA;SP;2015-06-22;132;7;5,3
Embratel;VARGEM GRANDE PAULISTA;SP;2015-06-22;132;0;0
BrT Fixa;POXOREU;MT;2015-06-22;132;10;7,58
Telefônica;SAO SEBASTIAO DA GRAMA;SP;2015-06-22;131;5;3,82
Telefônica;TABATINGA;SP;2015-06-22;131;2;1,53
OI Fixa;ITATIM;BA;2015-06-22;131;5;3,82
OI Fixa;CRISTINO CASTRO;PI;2015-06-22;131;11;8,4
BrT Fixa;BELA VISTA DE GOIAS;GO;2015-06-22;131;18;13,74
OI Fixa;UBAJARA;CE;2015-06-22;131;0;0
OI Fixa;CARDOSO MOREIRA;RJ;2015-06-22;130;15;11,54
BrT Fixa;ESPUMOSO;RS;2015-06-22;130;0;0
OI Fixa;IRAMAIA;BA;2015-06-22;130;2;1,54
OI Fixa;CARAPEBUS;RJ;2015-06-22;130;0;0
Algar Telecom;CENTRALINA;MG;2015-06-22;130;6;4,62
OI Fixa;QUIXERAMOBIM;CE;2015-06-22;130;4;3,08
OI Fixa;BICAS;MG;2015-06-22;130;11;8,46
Embratel;NATAL;RN;2015-06-22;130;13;10
BrT Fixa;BANDEIRANTES;PR;2015-06-22;130;3;2,31
GVT;SAO VICENTE;SP;2015-06-22;129;6;4,65
GVT;SANTOS;SP;2015-06-22;129;5;3,88
Telefônica;CARDOSO;SP;2015-06-22;129;6;4,65
Telefônica;TERRA ROXA;SP;2015-06-22;129;5;3,88
Vivo Fixo;RIO DE JANEIRO;RJ;2015-06-22;129;10;7,75
Embratel;PORTO VELHO;RO;2015-06-22;129;15;11,63
Embratel;MARINGA;PR;2015-06-22;128;25;19,53
OI Fixa;SAO GONCALO DOS CAMPOS;BA;2015-06-22;128;7;5,47
GVT;RIBEIRAO PRETO;SP;2015-06-22;128;25;19,53
